"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\skin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\skin.shadowdom.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\content.inline.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\skin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
